event_id,session_id,start_time,end_time,duration_s,rms_mean,rms_max,peak_max,borderline,wav_path,notes,public_detections_count,public_species_unique,public_total_duration_s,public_top_species_by_count,public_top_species_by_duration
event_20260111_081800_092,20260111_003017,2026-01-11T08:18:00+01:00,2026-01-11T08:18:07+01:00,7.0,0.00607,,0.04389,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081800_092.wav,,0,0,0.0,,
event_20260111_081808_093,20260111_003017,2026-01-11T08:18:08+01:00,2026-01-11T08:18:13+01:00,6.14,0.007155,,0.0547,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081808_093.wav,,0,0,0.0,,
event_20260111_081900_094,20260111_003017,2026-01-11T08:19:00+01:00,2026-01-11T08:19:04+01:00,6.83,0.0074199999999999,,0.04342,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081900_094.wav,,0,0,0.0,,
event_20260111_081910_095,20260111_003017,2026-01-11T08:19:10+01:00,2026-01-11T08:19:13+01:00,6.31,0.007285,,0.04788,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081910_095.wav,,0,0,0.0,,
event_20260111_081941_096,20260111_003017,2026-01-11T08:19:41+01:00,2026-01-11T08:19:48+01:00,9.56,0.00611,,0.04934,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081941_096.wav,,0,0,0.0,,
event_20260111_081956_097,20260111_003017,2026-01-11T08:19:56+01:00,2026-01-11T08:20:01+01:00,8.02,0.01405,,0.07719,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_081956_097.wav,,0,0,0.0,,
event_20260111_082104_098,20260111_003017,2026-01-11T08:21:04+01:00,2026-01-11T08:21:07+01:00,6.14,0.0058699999999999,,0.04854,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082104_098.wav,,0,0,0.0,,
event_20260111_082447_099,20260111_003017,2026-01-11T08:24:47+01:00,2026-01-11T08:24:50+01:00,6.14,0.0030399999999999,,0.04827,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082447_099.wav,,0,0,0.0,,
event_20260111_082455_100,20260111_003017,2026-01-11T08:24:55+01:00,2026-01-11T08:24:58+01:00,6.14,0.00298,,0.04082,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082455_100.wav,,0,0,0.0,,
event_20260111_082524_101,20260111_003017,2026-01-11T08:25:24+01:00,2026-01-11T08:25:27+01:00,6.14,0.002945,,0.04274,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082524_101.wav,,0,0,0.0,,
event_20260111_082540_102,20260111_003017,2026-01-11T08:25:40+01:00,2026-01-11T08:25:43+01:00,6.14,0.00332,,0.04408,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082540_102.wav,,0,0,0.0,,
event_20260111_082549_103,20260111_003017,2026-01-11T08:25:49+01:00,2026-01-11T08:25:55+01:00,9.22,0.01012,,0.0675,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082549_103.wav,,0,0,0.0,,
event_20260111_082602_104,20260111_003017,2026-01-11T08:26:02+01:00,2026-01-11T08:26:09+01:00,9.56,0.0118699999999999,,0.07979,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082602_104.wav,,0,0,0.0,,
event_20260111_082800_105,20260111_003017,2026-01-11T08:28:00+01:00,2026-01-11T08:28:08+01:00,10.41,0.008875,,0.04062,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082800_105.wav,,0,0,0.0,,
event_20260111_082846_106,20260111_003017,2026-01-11T08:28:46+01:00,2026-01-11T08:28:57+01:00,13.48,0.004475,,0.06028,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082846_106.wav,,0,0,0.0,,
event_20260111_082900_107,20260111_003017,2026-01-11T08:29:00+01:00,2026-01-11T08:29:03+01:00,6.14,0.0067649999999999,,0.04607,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082900_107.wav,,0,0,0.0,,
event_20260111_082905_108,20260111_003017,2026-01-11T08:29:05+01:00,2026-01-11T08:29:09+01:00,6.14,0.00458,,0.05558,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082905_108.wav,,0,0,0.0,,
event_20260111_082912_109,20260111_003017,2026-01-11T08:29:12+01:00,2026-01-11T08:29:16+01:00,6.49,0.003315,,0.04455,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082912_109.wav,,0,0,0.0,,
event_20260111_082917_110,20260111_003017,2026-01-11T08:29:17+01:00,2026-01-11T08:29:28+01:00,11.95,0.003735,,0.04154,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082917_110.wav,,0,0,0.0,,
event_20260111_082928_111,20260111_003017,2026-01-11T08:29:28+01:00,2026-01-11T08:29:37+01:00,9.39,0.006905,,0.07936,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082928_111.wav,,0,0,0.0,,
event_20260111_082937_112,20260111_003017,2026-01-11T08:29:37+01:00,2026-01-11T08:29:53+01:00,15.87,0.007395,,0.1018,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082937_112.wav,,0,0,0.0,,
event_20260111_082954_113,20260111_003017,2026-01-11T08:29:54+01:00,2026-01-11T08:29:59+01:00,6.14,0.004445,,0.07022,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_082954_113.wav,,0,0,0.0,,
event_20260111_083000_114,20260111_003017,2026-01-11T08:30:00+01:00,2026-01-11T08:30:07+01:00,8.02,0.00682,,0.09964,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083000_114.wav,,0,0,0.0,,
event_20260111_083010_115,20260111_003017,2026-01-11T08:30:10+01:00,2026-01-11T08:30:13+01:00,6.14,0.00471,,0.08451,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083010_115.wav,,0,0,0.0,,
event_20260111_083021_116,20260111_003017,2026-01-11T08:30:21+01:00,2026-01-11T08:30:25+01:00,6.14,0.008445,,0.15312,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083021_116.wav,,0,0,0.0,,
event_20260111_083026_117,20260111_003017,2026-01-11T08:30:26+01:00,2026-01-11T08:30:31+01:00,6.14,0.008215,,0.1186,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083026_117.wav,,0,0,0.0,,
event_20260111_083046_118,20260111_003017,2026-01-11T08:30:46+01:00,2026-01-11T08:30:51+01:00,7.68,0.009715,,0.0453,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083046_118.wav,,0,0,0.0,,
event_20260111_083053_119,20260111_003017,2026-01-11T08:30:53+01:00,2026-01-11T08:30:59+01:00,8.19,0.00876,,0.06735,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083053_119.wav,,0,0,0.0,,
event_20260111_083130_120,20260111_003017,2026-01-11T08:31:30+01:00,2026-01-11T08:31:34+01:00,6.49,0.0428749999999999,,0.67911,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083130_120.wav,,0,0,0.0,,
event_20260111_083135_121,20260111_003017,2026-01-11T08:31:35+01:00,2026-01-11T08:31:44+01:00,10.24,0.02918,,0.36753,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083135_121.wav,,0,0,0.0,,
event_20260111_083145_122,20260111_003017,2026-01-11T08:31:45+01:00,2026-01-11T08:31:53+01:00,9.05,0.00511,,0.0444,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083145_122.wav,,0,0,0.0,,
event_20260111_083155_123,20260111_003017,2026-01-11T08:31:55+01:00,2026-01-11T08:31:59+01:00,6.14,0.011775,,0.10754,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083155_123.wav,,0,0,0.0,,
event_20260111_083300_124,20260111_003017,2026-01-11T08:33:00+01:00,2026-01-11T08:33:07+01:00,9.73,0.0046949999999999,,0.05602,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083300_124.wav,,0,0,0.0,,
event_20260111_083324_125,20260111_003017,2026-01-11T08:33:24+01:00,2026-01-11T08:33:27+01:00,6.14,0.0079,,0.04243,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_083324_125.wav,,0,0,0.0,,
